"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","associate's degree","standard","completed","71","83","84"
"male","group C","associate's degree","standard","none","64","56","51"
"female","group D","some high school","standard","completed","83","89","99"
"male","group D","some college","free/reduced","none","54","46","48"
"male","group E","bachelor's degree","standard","none","100","96","91"
"male","group C","associate's degree","standard","none","67","57","58"
"female","group E","bachelor's degree","standard","none","100","100","98"
"female","group D","some college","standard","completed","85","91","97"
"female","group C","high school","free/reduced","none","61","64","71"
"male","group E","bachelor's degree","standard","none","94","82","80"
"female","group C","some college","free/reduced","none","74","82","79"
"female","group D","high school","free/reduced","none","59","70","68"
"male","group C","associate's degree","standard","none","65","56","60"
"female","group A","associate's degree","free/reduced","completed","60","73","70"
"female","group C","some high school","standard","none","73","72","82"
"male","group D","associate's degree","standard","none","92","84","77"
"female","group A","bachelor's degree","standard","none","55","67","64"
"female","group E","bachelor's degree","free/reduced","completed","54","66","64"
"male","group B","associate's degree","standard","none","39","40","40"
"male","group A","master's degree","standard","none","78","76","73"
"female","group B","some high school","free/reduced","none","39","54","42"
"female","group E","some high school","free/reduced","none","76","74","68"
"female","group D","some high school","free/reduced","completed","49","61","61"
"female","group B","some college","standard","none","57","62","65"
"female","group C","high school","free/reduced","none","66","67","63"
"male","group E","some high school","standard","completed","83","65","64"
"male","group B","associate's degree","standard","completed","70","66","68"
"female","group C","some college","standard","none","70","70","67"
"male","group D","bachelor's degree","standard","none","60","41","43"
"male","group B","bachelor's degree","standard","none","70","61","64"
"male","group A","some high school","free/reduced","completed","81","77","78"
"male","group E","high school","standard","none","96","84","84"
"female","group B","high school","free/reduced","completed","52","74","69"
"female","group C","some high school","standard","none","80","85","84"
"male","group C","bachelor's degree","free/reduced","none","69","70","68"
"male","group B","bachelor's degree","standard","completed","92","82","82"
"male","group E","high school","standard","none","80","67","62"
"male","group E","some college","standard","none","79","70","62"
"female","group D","bachelor's degree","free/reduced","completed","62","71","78"
"male","group C","associate's degree","free/reduced","none","55","49","50"
"male","group C","master's degree","standard","completed","73","56","58"
"male","group B","some high school","free/reduced","none","61","59","56"
